latitude,longitude,id,name,docks
40.65074,-73.94986,motivate_BKN_1815967442754883940,Church Ave & Nostrand Ave,24
40.818185,-73.894143,motivate_BKN_8a89684b-40a5-49fe-b75d-fdf32ffa8102,Southern Blvd & Tiffany St,18
40.821111,-73.935971,motivate_BKN_b0bac4ef-bb57-4598-a433-75c281170d5b,Lenox Ave & W 146 St,16
40.754691,-73.997401,motivate_BKN_a47f77a2-9008-4652-a4f1-b95eee723a1b,W 35 St & Dyer Ave,36
40.844811,-73.912042,motivate_BKN_2a66ed0a-5e6d-4893-a1d1-876bb2bac4be,E 174 St & Walton Ave,21
40.678045,-73.962408,motivate_BKN_1d32e684-602b-46b6-8c96-ab47b57a03f3,Grand Ave & Bergen St,23
40.708346,-74.017134,motivate_BKN_66dbcbbc-0aca-11e7-82f6-3863bb44ef7c,West Thames St,51
40.712868,-73.956981,motivate_BKN_66dc3782-0aca-11e7-82f6-3863bb44ef7c,Grand St & Havemeyer St,25
40.649037,-73.97673,motivate_BKN_3f05490b-a3d8-4d15-bd25-0212555b5dff,Ft. Hamilton Pkwy & E 5 St,21
40.652512,-74.008906,motivate_BKN_29a41b09-698f-43e2-82ff-f94f73e74841,41 St & 3 Ave,19
40.86571,-73.90857,motivate_BKN_754ac5df-f2b5-4636-8c58-ed84ea262bde,Bailey Ave & Sedgwick Ave,12
40.818477,-73.947568,motivate_BKN_b371c432-b682-412f-9b85-8df84ce7a9f3,St Nicholas Ave & W 137 St,13
40.64521,-73.97073,motivate_BKN_1828965347681089818,Turner Pl & Coney Island Ave,15
40.758923,-73.962262,motivate_BKN_66ddb66e-0aca-11e7-82f6-3863bb44ef7c,E 58 St & 1 Ave (NE Corner),20
40.72558,-73.90417,motivate_BKN_525535e3-dde3-47b4-9c2e-0174eaa4f2bb,61 St & Borden Ave,21
40.64466,-73.96322,motivate_BKN_1814906692908349788,E 17 St & Beverley Rd,18
40.73577,-73.90184,motivate_BKN_5145ad1c-241f-4448-a742-739bd5c518c2,64 St & 51 Ave,15
40.853044,-73.918306,motivate_BKN_6fb81fda-f0b5-4242-90f9-88d0214feb8d,Sedgwick Ave & W Tremont Ave,11
40.73568,-73.90387,motivate_BKN_ba33c334-e17d-4478-ae3c-9c2f4dbfbb51,51 Ave & 61 St,16
40.64868,-73.94635,motivate_BKN_1828965172312150882,New York Ave & Snyder Ave,21
40.642703,-74.009441,motivate_BKN_816e50eb-dc4b-47dc-b773-154e2020cb0d,52 St & 6 Ave,16
40.780577,-73.985624,motivate_BKN_66dd4d70-0aca-11e7-82f6-3863bb44ef7c,Riverside Dr & W 72 St,20
40.789485,-73.952429,motivate_BKN_66de13dc-0aca-11e7-82f6-3863bb44ef7c,Madison Ave & E 99 St,31
40.718709,-74.009,motivate_BKN_66db408f-0aca-11e7-82f6-3863bb44ef7c,Harrison St & Hudson St,36
40.799756,-73.962112,motivate_BKN_66de12ff-0aca-11e7-82f6-3863bb44ef7c,W 107 St & Columbus Ave,16
40.73866,-73.989872,motivate_BKN_40043e8a-6ef6-428d-b585-a7c23cdb06d4,Broadway & E 19 St,40
